                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                   1.54,                 1.8517,                 2.0574,                0.66298,                0.48782,                0.49071,                0.32062,                 1.2818,                 1.5922,                 1.7335,             7.6268e-05,             7.6268e-05,             7.6268e-05
                     83,                 1.5213,                  1.929,                 2.0663,                0.64963,                0.49388,                 0.4876,                0.31796,                 1.2907,                 1.5876,                 1.7406,             7.2457e-05,             7.2457e-05,             7.2457e-05
                     84,                 1.4997,                 1.8808,                 2.0812,                0.69809,                0.45471,                0.49886,                0.32251,                 1.3182,                 1.5858,                 1.7667,             6.8646e-05,             6.8646e-05,             6.8646e-05
                     85,                 1.5093,                 1.8493,                 2.0644,                0.72585,                0.42784,                0.50033,                0.32729,                  1.314,                 1.5907,                 1.7691,             6.4834e-05,             6.4834e-05,             6.4834e-05
                     86,                 1.5003,                 1.8168,                 2.0657,                0.67233,                0.47783,                0.50333,                0.33771,                 1.2691,                 1.5581,                 1.7392,             6.1023e-05,             6.1023e-05,             6.1023e-05
                     87,                 1.5719,                 1.9111,                  2.081,                0.68295,                0.48851,                 0.5002,                0.33447,                 1.2694,                 1.5508,                 1.7346,             5.7211e-05,             5.7211e-05,             5.7211e-05
                     88,                 1.5424,                 1.8456,                 2.0581,                0.66235,                 0.5159,                0.50579,                0.33558,                  1.282,                 1.5395,                  1.736,               5.34e-05,               5.34e-05,               5.34e-05
                     89,                 1.4815,                 1.8288,                 2.0654,                0.67775,                0.50858,                0.51471,                0.34059,                 1.2853,                 1.5247,                 1.7353,             4.9588e-05,             4.9588e-05,             4.9588e-05
                     90,                 1.5047,                  1.831,                 2.0838,                0.70985,                0.49587,                0.52584,                0.34998,                 1.2896,                 1.5081,                 1.7365,             4.5776e-05,             4.5776e-05,             4.5776e-05
                     91,                 1.5593,                 1.9625,                 2.0252,                0.72232,                0.49424,                 0.5327,                 0.3523,                 1.3013,                 1.5031,                   1.75,             4.1965e-05,             4.1965e-05,             4.1965e-05
                     92,                 1.4617,                 1.8203,                 1.9092,                0.69579,                0.50775,                0.52836,                0.34062,                 1.3616,                 1.5502,                 1.7984,             3.8153e-05,             3.8153e-05,             3.8153e-05
                     93,                 1.4513,                 1.8436,                 1.9185,                 0.6861,                0.51927,                0.52491,                0.33316,                 1.3923,                 1.5802,                 1.8239,             3.4342e-05,             3.4342e-05,             3.4342e-05
                     94,                 1.4228,                 1.8332,                 1.8836,                0.66421,                0.52498,                0.52242,                0.33047,                  1.391,                 1.5881,                 1.8193,              3.053e-05,              3.053e-05,              3.053e-05
                     95,                 1.4283,                 1.7795,                 1.8896,                0.66401,                0.50187,                0.51529,                0.33072,                 1.3635,                 1.5759,                 1.7927,             2.6719e-05,             2.6719e-05,             2.6719e-05
                     96,                 1.3892,                  1.688,                 1.8627,                0.67229,                0.47377,                0.51182,                0.33482,                 1.3187,                 1.5588,                 1.7616,             2.2908e-05,             2.2908e-05,             2.2908e-05
                     97,                  1.433,                 1.6908,                 1.8681,                0.69004,                0.46948,                0.52605,                0.34663,                 1.3123,                 1.5622,                 1.7612,             1.9096e-05,             1.9096e-05,             1.9096e-05
                     98,                  1.366,                 1.6609,                 1.8339,                 0.6643,                0.48897,                0.51086,                0.33698,                 1.3199,                 1.5593,                 1.7686,             1.5285e-05,             1.5285e-05,             1.5285e-05
                     99,                 1.3633,                 1.6401,                 1.8739,                0.65443,                0.51868,                 0.5098,                0.33576,                 1.3209,                 1.5606,                 1.7719,             1.1473e-05,             1.1473e-05,             1.1473e-05
                    100,                 1.3683,                 1.6291,                 1.8401,                0.67172,                 0.5026,                 0.5108,                0.33631,                 1.3156,                  1.546,                 1.7638,             7.6615e-06,             7.6615e-06,             7.6615e-06
